NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
628,27,32790649,2575,11795,0
732,14,36688410,2480,13897,0
599,14,29692225,2150,11281,0
525,27,26090549,2290,9993,0
733,20,35712612,2199,13804,0
508,11,26383685,2328,9614,0
723,28,35352070,2345,13543,0
718,10,34633679,3780,13327,0
681,26,33356908,2457,13039,0
579,24,28797143,2805,10821,0
704,28,34441159,2359,13408,0
532,24,26911417,3011,10088,0
754,26,38345658,2695,14510,0
781,30,39355620,2339,14668,0
737,27,36406366,2717,13978,0
626,16,32001617,2070,12148,0
588,10,29518927,2354,11134,0
561,25,28697608,1683,10556,0
736,11,38621874,2549,13750,0
500,22,25087169,2891,9668,0
617,29,30700066,2605,11877,0
616,23,30592075,2502,11777,0
630,29,31983499,2397,12040,0
739,25,37499946,2157,14061,0
636,12,31573222,2850,12097,0
581,16,29219721,2548,10981,0
690,27,33912808,2119,13039,0
520,30,26139432,2301,9883,0
575,11,29014748,2514,10821,0
716,23,35934346,2278,13354,0
516,20,26387616,1939,9856,0
796,24,39188281,2541,15066,0
747,30,37781376,2295,14310,0
591,12,30600566,3093,11316,0
520,22,25997696,2595,9940,0
647,11,33060028,3274,12369,0
612,28,30806763,2749,11628,0
694,26,34722056,2570,12988,0
789,29,38420508,2505,14995,0
717,24,36237269,2910,13324,0
616,27,30320629,2407,11497,0
743,29,37616836,2331,14069,0
559,15,28382167,2760,10526,0
625,12,31409317,2427,11840,0
792,26,38323672,2763,14980,0
510,27,25267097,2399,9734,0
769,26,38520457,2181,14444,0
710,11,35590413,2905,13372,0
583,14,30247776,2234,11071,0
592,24,29139220,3059,11211,0
704,16,33984113,2590,13394,0
601,14,30045627,1842,11403,0
705,11,33371166,2093,13449,0
718,21,35611279,2965,13613,0
608,30,30579021,3157,11664,0
569,12,27930824,2414,10827,0
585,15,29777852,2533,11067,0
593,26,29720113,2842,11251,0
767,19,38471710,3282,14647,0
567,16,28933675,2173,10666,0
654,17,33474756,2393,12679,0
569,10,28027843,3473,10871,0
590,15,29353251,2803,11149,0
670,27,33104723,2744,12883,0
584,17,28037226,3145,11005,0
759,13,38466286,2793,14354,0
679,27,33650555,2383,12813,0
770,11,37306762,2964,14588,0
510,15,25273200,3060,9778,0
705,25,34545386,2261,13358,0
588,18,30405203,2291,11159,0
705,11,34430038,3149,13344,0
667,21,32103033,2646,12681,0
775,27,37209617,2513,14717,0
732,22,36346630,3098,14082,0
582,12,29838101,3597,11109,0
521,20,27073351,2621,10005,0
551,17,27407594,2643,10310,0
687,21,35314117,2281,13075,0
800,21,39522436,2557,15313,0
780,18,38360591,2077,14995,0
652,20,31864610,2990,12292,0
631,22,31701184,2501,12066,0
782,30,40057194,2372,14897,0
651,12,31962311,2718,12457,0
746,30,37191727,2269,14394,0
772,29,36808971,2151,14716,0
596,25,30274999,2636,11314,0
533,14,26423837,2136,10242,0
735,21,35572131,2293,14059,0
786,11,39778767,2808,14896,0
719,29,35098187,2395,13712,0
614,23,31236992,2113,11475,0
776,28,39465981,2713,14827,0
557,21,28683517,2330,10709,0
729,30,36840547,2583,13871,0
657,25,31463509,2729,12622,0
675,24,34059650,2018,12891,0
569,19,27561340,2702,10874,0
773,28,38365809,2399,14528,0
581,27,29543886,2795,11044,0
613,23,31159848,2812,11622,0
572,12,28342016,1952,10995,0
789,28,39112107,2397,15186,0
677,29,33706956,2436,12954,0
774,11,39220631,2114,14764,0
648,20,32617925,2438,12360,0
698,17,35682177,3135,13242,0
620,11,30819741,1909,11659,0
787,23,40036121,2426,15042,0
566,11,27420776,3041,10773,0
610,16,30459554,2008,11527,0
752,19,37040606,3028,14324,0
755,25,36195314,2645,14311,0
791,11,40361224,2574,14861,0
621,24,30537266,2460,11833,0
712,28,34494146,2979,13733,0
731,14,36654225,2349,13901,0
570,30,28642049,2273,10701,0
