NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
749,19,38134671,2005,14327,1
600,10,29780988,3281,11364,2
675,16,33293114,2629,12797,1
563,25,28728710,2396,10696,0
507,11,25600846,2556,9545,2
672,27,34952607,2321,12727,0
720,13,37297178,2376,13608,4
553,10,26423065,3247,10410,0
646,22,33240377,2144,12301,0
772,12,38942030,3005,14683,2
752,19,38142697,2537,14289,0
627,19,31245491,2411,11876,4
667,30,33918415,2528,12516,4
508,13,25778258,2491,9742,2
730,23,36566518,2344,13699,0
703,10,34691568,2321,13262,1
789,12,39663379,2873,14666,0
763,13,37266278,2733,14463,0
794,18,39863017,2401,15069,0
507,17,24392919,2299,9785,0
641,30,32710499,2175,12216,0
662,22,32324102,2776,12567,1
744,21,36389381,2296,13804,5
673,14,33156426,2794,12839,0
532,30,27207706,2680,10021,1
772,29,38500396,2245,14619,3
726,29,35695551,2997,13761,0
763,27,37444098,2301,14420,0
715,25,35914611,2259,13672,2
691,21,34774686,2425,13001,0
579,19,28907256,2461,10919,2
580,30,28145052,2638,11205,1
532,25,26341835,2396,10175,0
740,10,37598272,2762,14070,0
507,18,25655205,2495,9493,1
646,19,32846278,2486,12245,0
753,23,38576260,2392,14151,0
705,13,34212376,2469,13467,5
713,19,34949258,3099,13361,1
583,30,29431249,2940,11049,0
626,26,29439511,2371,11817,1
701,16,33830977,2730,13391,0
530,29,26608451,2397,10016,0
594,29,30262556,2185,11195,0
743,21,37677492,2312,14066,4
653,27,33422068,2191,12489,5
685,30,34025739,2407,12891,1
655,13,33873721,2582,12254,0
625,13,31882948,2708,12031,2
699,23,33468128,1888,13305,0
561,10,28534966,2447,10625,2
790,12,39273209,2679,15023,1
607,22,30657963,2873,11587,2
613,18,29843393,2170,11794,0
653,29,33165265,2712,12497,1
680,14,34113402,2392,12915,4
526,27,27062714,2284,10065,0
581,28,28722119,2167,11030,0
660,28,33335237,2227,12591,1
521,15,27066387,3103,10021,1
677,19,33008620,2432,12744,1
619,10,32004208,3073,11739,1
506,12,24866831,3307,9600,1
710,25,35983524,1835,13548,0
513,28,25642197,2163,9798,1
645,26,33792446,2490,12307,1
714,11,34860640,1860,13717,2
794,15,40444907,1990,15019,2
584,24,29055696,2475,11132,0
564,10,26898202,2020,10733,0
587,23,29401950,1907,11158,1
666,26,33094940,2420,12717,5
528,12,26550768,3423,10059,0
772,11,38696906,2744,14563,4
637,28,32597205,2165,12161,0
584,23,28305947,1703,11050,0
507,13,24537286,2583,9541,4
535,14,26891329,2440,10117,2
698,18,35066116,3045,13152,0
786,14,38836400,2269,14997,0
642,23,32666871,2910,12264,0
743,25,36784921,2885,13754,5
707,10,35143657,2234,13429,1
681,27,33684766,2227,12787,1
797,17,39587741,2934,15214,1
743,19,38160276,2585,14133,5
516,18,26318955,2658,9706,1
730,14,36775473,1799,13756,0
513,15,25066502,2490,9721,4
658,17,34328255,2829,12402,4
607,28,30269666,2316,11696,0
669,30,33140846,2798,12801,0
588,26,30769450,2752,11025,0
636,12,31702383,1705,12172,5
547,20,27854670,2044,10260,0
524,23,26583534,2287,9804,1
716,27,36488252,2024,13459,2
512,12,25101111,2725,9680,3
728,17,37815700,2529,13881,1
772,29,38680298,2185,14758,0
513,10,24736722,2637,9858,2
582,19,28842708,2834,11059,1
768,29,39378274,2713,14492,0
530,23,25629686,2802,10006,0
792,18,40289963,2179,14973,1
741,18,36763621,2686,14215,5
765,10,38854889,2954,14634,0
702,10,35684053,2520,13411,1
636,14,32401685,3026,11989,5
717,16,34700215,2088,13615,5
596,17,30291897,2888,11334,0
689,21,33300881,2940,12905,5
664,30,33135263,2651,12516,5
654,25,31535505,1980,12356,0
742,13,35858892,2883,13993,5
590,17,30463159,2041,11220,2
685,15,34497303,2680,13001,4
545,27,27539816,2226,10421,0
717,26,36180240,3125,13420,2
707,11,35690383,2517,13184,2
668,15,32012386,2037,12762,1
545,11,26621625,3247,10257,4
581,11,28699851,2299,11071,0
775,30,38013861,2692,14630,0
764,15,38244307,2594,14449,0
507,16,25738317,2794,9593,4
700,30,33175507,1988,13294,0
508,17,25941785,2687,9716,4
564,25,28482640,2280,10716,0
536,15,26483222,2614,10025,5
660,17,31927687,2746,12351,0
595,23,29573125,2393,11099,1
568,10,27042255,2299,10691,0
757,26,37165098,2313,14565,0
639,28,31569174,2651,12044,0
796,17,40322133,2784,15239,0
526,15,26655275,2947,9989,0
785,12,39226563,2395,15065,0
661,18,32171094,2872,12494,2
509,17,24760541,2624,9592,2
705,14,34602930,2391,13465,1
756,15,38689050,2804,14453,0
714,25,36898080,2421,13484,0
610,28,30265340,2221,11696,0
526,28,26298031,2513,9961,1
576,11,27233986,2425,10832,5
579,24,29533097,2760,11065,2
683,14,34441852,2187,12948,4
547,23,27141265,2102,10355,0
510,11,25581814,3133,9645,2
724,29,35061724,2061,13559,1
521,26,26153029,2916,9839,2
649,24,31124774,2851,12405,0
641,19,31991560,2117,11992,1
609,24,30770475,2621,11383,1
651,21,33602851,2367,12160,1
769,13,39016045,2692,14673,4
715,20,35587765,2759,13634,5
730,11,34587747,2417,13828,1
510,20,25344640,1954,9538,2
782,26,39140333,2486,14847,0
526,15,27210589,2261,10108,0
514,25,24015478,2973,9653,2
599,10,29480791,2485,11245,0
623,21,30724841,2716,11787,1
649,17,33275018,2489,12328,2
675,15,33701100,2432,12646,0
690,21,33842836,2610,13159,1
529,18,25894138,1985,9703,1
711,21,36160533,2200,13421,0
718,29,35411651,2856,13746,1
699,30,35092183,2936,13283,0
751,10,36907236,2850,14290,1
589,14,28340933,2943,11193,1
586,15,29472768,2863,11043,0
761,23,37514773,2025,14303,0
777,20,40003159,2406,14801,2
655,17,33340850,2523,12443,0
543,25,26737804,2850,10293,0
797,24,39866366,2759,15271,5
781,16,38507560,2531,14767,2
504,20,24142236,2607,9690,0
672,24,33960790,2848,12869,0
617,16,29839248,2806,11538,0
679,11,33427768,2614,12797,0
657,17,32600000,2604,12458,5
769,26,38904597,2269,14705,0
516,17,26727512,2352,9783,2
609,19,29542661,2103,11522,5
589,22,30969678,3057,11237,0
721,18,35362031,2414,13695,5
742,13,38713365,2096,14018,2
629,15,30475512,2133,11634,2
528,21,25302142,2862,10001,0
800,15,39009500,2422,15224,0
535,28,25066829,2963,10141,3
777,10,40147229,1555,14576,1
564,11,28137505,2876,10775,5
612,23,30455109,2176,11572,0
599,21,29682004,2526,11320,5
541,29,26750384,2535,10379,1
575,20,27463769,2428,11112,0
654,13,32882440,3148,12605,4
584,12,28557090,2769,11070,0
609,28,29880059,1744,11611,1
676,10,34548925,2328,12848,4
500,28,23944978,2669,9448,0
614,10,28901045,2502,11806,0
691,17,36034533,1976,13120,2
593,19,29958486,2065,11100,1
727,19,35945065,2818,13888,0
535,30,26996429,2316,10243,0
520,12,26386918,3198,9839,2
554,26,26800111,2683,10387,1
672,23,32424998,2361,12737,0
670,12,33779440,2251,12821,0
682,28,34432441,2386,12833,0
725,19,36088692,2239,13773,5
663,18,32777885,2309,12573,1
579,12,29892092,1955,10862,2
673,20,33353505,2196,12737,0
739,27,36147665,2161,14029,5
655,15,32255459,2948,12321,1
773,21,37881176,2520,14496,4
571,10,27748469,2493,10719,0
512,13,25308740,2315,9704,1
629,20,31584334,2377,11840,5
670,15,34583857,3088,12631,1
706,24,35202694,2823,13303,0
632,23,30954921,2322,11904,1
551,13,26983773,2812,10365,4
558,21,27981227,2425,10547,3
642,12,32773257,1925,12089,0
670,23,33042848,2522,12738,0
637,20,32579031,2069,12185,0
795,21,38728768,2531,15113,0
500,11,25676372,1887,9621,0
604,29,30466121,2288,11446,0
570,21,27789075,2650,10691,5
748,29,36847227,2704,14225,0
703,17,35588682,2468,13263,0
642,29,31064021,2757,12292,0
733,28,36627436,2728,13810,3
608,22,30441663,2305,11434,4
644,24,33336752,2663,12244,1
764,19,38446423,2307,14744,2
770,15,38964119,2632,14643,5
771,18,37538945,2759,14507,2
625,16,30202178,1578,12035,0
785,26,38611811,2400,15085,1
535,27,25793045,2399,10081,5
634,27,30686546,2702,11984,1
502,11,25018733,2300,9518,1
565,18,27509577,2024,10811,2
794,26,39335904,2639,15165,0
667,20,34616803,2405,12705,0
793,10,41177460,3676,15080,1
668,23,33132894,3000,12816,0
550,20,27264139,2718,10463,5
558,28,28272102,2642,10612,1
