NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
651,18,32911519,3320,12350,5
508,24,26466126,2341,9538,5
543,16,28204899,2464,10318,5
693,17,35626526,2099,13260,5
560,14,28356236,2190,10504,5
643,25,31725930,2873,12232,5
675,28,33255808,2584,12830,5
529,25,25612003,2354,9941,5
729,18,36907296,2578,13697,5
558,12,27537739,1491,10548,5
571,29,28977117,1972,10823,5
782,12,38220605,2811,14946,5
703,10,34414203,2242,13223,5
594,29,28224263,2034,11277,5
622,24,31424241,2639,11674,5
610,21,30425884,2812,11577,5
733,11,36638772,2215,13939,5
650,22,31381658,1373,12339,5
534,29,25298271,2779,10159,5
565,16,28220078,2930,10798,5
794,12,40171434,2154,15236,5
628,12,31633313,1797,12055,5
710,26,35114233,2413,13426,5
726,25,35312855,2217,13944,5
609,15,30394043,2764,11550,5
554,25,27360076,2506,10455,5
572,20,27390926,2400,10734,5
686,20,35088520,3121,12969,5
636,14,32353261,2005,12068,5
591,20,28600686,2306,11142,5
702,22,36540221,1938,13379,5
778,10,38812911,2415,14969,5
615,22,31077889,2446,11692,5
708,18,34311080,2140,13332,5
663,13,32343103,1733,12556,5
609,11,30368534,1901,11485,5
517,21,26082817,2515,9718,5
797,16,40088817,1944,14960,5
613,19,30717310,2136,11510,5
584,15,30028798,2786,11278,5
547,21,27780728,1979,10456,5
550,18,28001555,2458,10447,5
768,14,38034726,2344,14573,5
775,10,38766242,2869,14652,5
501,27,24613389,2714,9557,5
513,13,26104519,2195,9707,5
603,21,29351751,2910,11258,5
543,17,27276003,2963,10209,5
778,25,38468503,2336,14872,5
543,14,27047026,2905,10177,5
722,19,36065047,1919,13625,5
534,10,26014052,2983,10086,5
720,29,36601238,2856,13627,5
537,21,27116510,3012,10234,5
774,15,37923083,2623,14522,5
682,24,33950302,2280,12992,5
690,24,35781797,3125,13176,5
716,21,36230046,2593,13661,5
545,25,26555659,3342,10355,5
538,13,25649329,2647,10170,5
662,12,33410735,2315,12659,5
586,20,29715173,2726,11092,5
598,28,29430465,2615,11403,5
555,29,27586531,2174,10335,5
608,13,30497698,2084,11543,5
762,15,37039642,2338,14296,5
733,13,37713301,2705,13973,5
767,22,38100274,2313,14354,5
753,23,37774170,2127,14279,5
698,11,35271884,2550,13022,5
766,24,39544920,2731,14387,5
638,22,32536976,2574,12001,5
584,16,31133474,2116,10898,5
693,13,33655604,2969,13246,5
506,25,25675735,2466,9640,5
733,11,37941098,3344,13756,5
697,18,35170539,2523,13060,5
526,15,25403976,2439,9908,5
789,28,39210226,2504,14943,5
672,29,33523419,2291,12825,5
747,12,36919097,2179,14076,5
614,22,31054313,2343,11494,5
520,22,25207678,2656,9655,5
647,16,31475497,1658,12115,5
577,16,28931882,2142,10832,5
675,11,34053087,2606,12999,5
592,12,28993695,2422,11327,5
706,13,35559287,2825,13352,5
711,11,34458398,2549,13606,5
532,24,26136259,2078,10008,5
671,12,32521686,2531,12694,5
680,10,35114399,2625,12915,5
529,22,26664095,2592,10028,5
517,29,25005599,2308,9784,5
690,26,34398914,2434,13211,5
760,29,38331892,2328,14457,5
530,10,27179106,3636,10090,5
603,25,29326462,2657,11424,5
781,11,39427786,2736,14933,5
540,13,26793233,2329,10296,5
513,23,25716541,2713,9978,5
746,17,37679864,2429,14097,5
