NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
561,13,28031454,2323,10526,0
604,17,30968264,2346,11416,0
551,10,28046038,3017,10362,1
777,20,39318128,2336,14731,2
524,17,26022170,3204,10030,0
588,10,30029429,2033,11274,4
637,20,32116485,1930,12196,2
626,21,31307398,2727,11961,1
597,16,30213116,2458,11527,2
561,25,28057581,2703,10713,3
524,11,25878428,1888,9984,0
726,11,35992277,3425,13689,1
526,19,25236675,2612,9926,0
794,30,39186012,2471,15136,0
669,28,32996541,2625,12663,0
693,27,35376670,2152,13015,2
794,12,39774598,2954,15140,0
732,16,37464305,2620,13539,0
550,13,28362752,2565,10363,0
792,22,39038178,2628,15005,0
706,13,35917768,2626,13615,5
670,21,32782589,2236,12665,0
723,26,36371945,2636,13713,1
608,13,29790082,2378,11682,2
692,26,33378752,2471,13183,2
512,11,25365402,2295,9759,4
758,14,38210147,3222,14099,1
764,18,38479070,2395,14525,2
545,22,26414237,2832,10397,0
746,25,37289875,2750,14221,0
766,29,38523930,2360,14589,0
617,28,29702186,1990,11532,0
528,13,25742719,2307,9962,1
618,20,31790388,2645,11675,1
565,22,27224991,2685,10640,0
516,19,25593206,3138,9789,0
613,24,30629467,2636,11653,0
773,14,38690932,2773,14676,2
735,11,36610267,2327,14073,1
699,10,34564884,2952,13342,1
592,15,29974767,2325,11459,4
673,30,34143124,2386,12897,0
690,28,33992018,2493,13100,0
613,23,31332367,2221,11678,0
603,15,30197016,2740,11300,2
594,23,28039426,2424,11400,2
607,15,30225839,2855,11435,4
694,29,34723374,2795,13134,5
519,20,25415048,2485,9832,5
575,17,29226447,2166,10806,4
556,19,28571408,3013,10240,1
736,12,35424597,2836,14105,1
647,18,32896640,2989,12457,0
707,11,36228744,2857,13360,2
646,16,32613876,1744,12242,0
578,10,29565214,2105,10958,4
788,22,39695222,2343,14942,0
745,14,38409248,2468,14131,0
662,20,32826912,3013,12402,2
597,21,31016918,2495,11344,0
546,24,28848482,2406,10229,1
597,10,29355559,1865,11332,2
522,21,25638348,2298,10044,0
688,26,34638297,2794,12896,0
553,23,27530674,2522,10505,0
702,27,36402502,2607,13028,0
788,24,39266451,2435,15096,1
691,13,36481510,2480,13319,2
608,23,29511043,2695,11618,5
762,14,38426307,2063,14265,1
761,28,37575197,2725,14403,0
523,29,25477440,2734,10116,0
661,27,32485650,3055,12772,4
515,15,25169648,2429,9819,2
689,13,35029871,2670,13120,0
592,12,30311858,2159,11224,4
529,23,26466598,2890,10035,0
620,18,29730671,2134,11678,1
701,28,34601201,2758,13412,0
718,25,35917243,2124,13551,4
785,29,38668022,2325,14818,0
792,27,41217467,2977,15018,0
720,24,36303059,2404,13722,1
698,20,34272710,2313,13213,0
754,18,37193326,2874,14313,2
571,25,29472500,2484,10862,1
622,14,30976430,2607,11656,5
528,16,25851520,2401,9999,1
785,10,38740867,2303,14955,0
713,10,35880375,2633,13522,0
510,29,25782476,2612,9618,0
505,20,25501132,2336,9643,0
796,17,40217432,2420,15194,1
603,28,31301460,2437,11428,0
549,25,27574377,2072,10126,5
758,21,38119919,2439,14252,0
785,26,39341710,2209,15267,0
529,22,25742470,2572,9986,1
512,13,25379809,3009,9687,5
676,12,31776025,2975,12761,0
682,10,33296228,1884,12786,0
647,13,34080931,2900,12310,5
626,29,31691596,2484,11875,0
734,18,35450910,2278,13990,1
785,25,38572637,2540,14925,0
527,19,26195483,2618,10074,0
529,22,25882617,2447,9911,0
763,23,38079341,2873,14390,1
512,18,25361802,2593,9875,2
655,26,33843435,2611,12502,1
551,11,26807471,2067,10582,0
538,27,25909286,2429,10057,1
506,14,26116026,2946,9698,1
522,22,26495518,2630,9812,5
800,28,39677684,2793,15089,1
534,20,26310569,2016,10010,1
777,23,38020074,1696,14774,4
561,24,28867987,2674,10659,4
650,24,33624455,2317,12218,0
743,16,37133459,2330,14060,5
745,23,37453647,2445,14120,0
508,14,24864016,3068,9491,4
729,17,37807952,2698,13744,0
582,26,29325869,3165,11248,0
705,11,36849694,2032,13464,0
611,10,31085825,2453,11643,1
569,29,28290500,2369,10904,0
687,24,33540840,2546,13198,2
640,16,30355949,3049,12219,0
623,12,30691020,2645,11860,0
579,23,29408441,2815,10856,5
527,19,26903800,2791,9957,1
513,17,26035693,2778,9814,0
642,16,31907922,3176,12104,0
684,19,34263056,2765,12887,2
670,27,33240874,2242,12797,0
644,23,33432912,2901,12243,1
586,22,29057095,2522,11110,1
619,24,29634877,2560,11570,0
650,21,31518073,2843,12357,2
694,16,35376190,2704,13173,1
515,25,26009399,2967,9775,1
541,30,26026107,2418,10255,1
753,10,37008759,2611,14330,2
607,15,29711260,1887,11556,4
684,21,34124776,1756,13082,5
773,25,39040414,2148,14623,2
753,28,37842681,2452,14337,5
781,10,39243485,2753,14784,0
610,30,30099954,2187,11564,1
639,10,31048128,2921,12389,1
654,30,34610256,2552,12275,2
522,26,27424682,2211,9735,0
674,13,33362540,2096,12827,0
603,28,30634898,2666,11355,5
537,25,27150280,2468,10073,0
530,27,25952345,2303,10132,0
665,22,32932241,2218,12797,4
544,10,27822840,3041,10369,2
678,15,33019154,2522,12790,1
703,29,34989150,1952,13387,3
700,19,33757696,2347,13129,0
540,18,28147655,2561,10170,5
572,24,28837228,2735,10960,5
717,15,35410785,1876,13677,0
693,18,35307045,2941,13163,4
644,26,31879907,2175,12199,0
514,12,25911628,3606,9784,4
781,21,37755521,2734,14769,0
639,17,32039698,2263,12075,0
749,18,38432559,2158,14298,4
529,26,26622156,2806,9994,0
642,28,31937188,1867,12137,0
721,13,34976241,2442,13617,2
527,16,27120171,1824,9939,1
608,21,30741929,2422,11609,0
594,15,29853046,2921,11440,4
595,24,29442966,2548,11425,5
538,28,26778519,2600,10157,1
537,28,27357775,2891,10080,2
557,17,28663405,2626,10558,1
780,11,38996465,2286,14668,2
528,25,25846381,2307,9924,0
574,26,29377622,2465,10813,1
568,11,27913135,3052,10531,4
544,14,27251858,2766,10197,0
751,25,37818418,2129,14194,4
573,29,28428468,2383,11071,0
563,30,28831253,2320,10912,0
654,30,33237654,2409,12377,0
770,23,38978986,2034,14749,0
593,25,30230433,2342,11282,1
689,12,33007330,2984,13096,1
537,15,25699670,2795,10204,1
709,30,36490127,2259,13588,0
722,20,35072391,2162,13786,0
752,16,38124216,2309,14334,1
733,10,36173555,2705,13839,1
688,26,34831192,2592,13039,2
511,27,25517299,2445,9698,2
641,24,32125078,2391,12110,0
731,17,37239649,2554,13806,0
766,27,37591719,2400,14453,1
553,29,27355004,2409,10621,0
789,19,38995097,2510,14862,0
683,29,34049316,1923,12986,1
618,30,31005793,1980,11617,0
724,24,36384912,2124,13719,1
783,23,40692757,2610,14751,5
549,26,27171428,2325,10356,1
769,26,39144229,2412,14440,4
517,22,25364893,2254,9825,2
733,24,36897174,2818,14080,0
666,14,33070748,3015,12803,1
591,19,29509693,2780,11236,2
600,21,30204555,1992,11299,4
720,12,35842378,2689,13698,4
554,11,27501502,3204,10612,0
536,23,27404871,2692,10350,2
539,13,26352336,2865,10211,0
505,11,26586519,3288,9657,2
559,11,27976171,2350,10559,2
642,19,32465734,2539,12093,0
516,13,25791101,2014,9901,2
665,26,34918801,2271,12770,1
547,14,28461132,1880,10268,2
643,12,33427998,1695,12262,1
784,16,40474263,2738,14845,0
671,23,32971980,2473,12829,0
715,11,36407124,2380,13537,2
668,19,32682663,2555,12725,0
514,11,26321758,3141,9828,2
663,29,32228858,2483,12649,4
514,26,25767254,2447,9798,5
680,28,33106709,2652,12826,0
798,20,39371671,2300,15130,0
597,19,30333344,2519,11247,1
743,18,36150425,2765,14211,2
555,10,28628597,2081,10618,0
535,11,26602625,3027,10169,1
603,16,30374765,3043,11466,4
775,26,37561702,1932,14798,0
781,11,37444181,2078,14706,1
714,16,36353026,2482,13616,2
561,14,28020868,1993,10469,5
725,21,35764274,2207,13755,0
781,26,39188013,2009,14707,5
721,14,36857043,2932,13695,4
734,29,37332376,2349,13857,1
799,30,39375870,2752,15269,0
628,18,30932789,1790,11998,1
635,16,32571088,2318,12098,4
683,13,34278088,2088,12848,1
727,13,35313544,1818,13913,0
578,19,28444921,2173,10967,1
649,15,33196944,2758,12482,2
596,20,30066199,2427,11268,0
723,20,36602639,2002,13790,5
776,27,38409853,2552,14916,0
704,10,36394583,1434,13266,0
759,29,39027861,2565,14541,0
591,30,29524680,2159,11342,0
790,21,39425507,3021,15026,0
689,12,34377762,2696,12894,4
746,28,37447426,2677,14193,1
599,12,27838807,2456,11306,3
766,20,39215275,2829,14427,4
653,17,32776727,2178,12274,1
522,13,25237463,2504,9840,2
797,16,39439947,1878,15172,4
659,30,32390229,2648,12408,0
690,20,34170576,2596,13057,5
691,28,34422825,2563,13133,0
530,27,26297714,2440,10023,0
612,28,29404896,2892,11685,1
681,14,35187653,2126,12819,2
700,10,35063209,2151,13384,1
797,19,40097806,2532,15076,0
800,12,38242814,3322,15123,0
545,27,28338368,2540,10294,0
745,15,37693751,3130,13977,0
570,21,28156168,2340,10904,0
738,15,38520186,2419,14015,2
588,12,29094485,2350,11180,2
555,21,28005155,2768,10571,0
790,29,38049149,2595,15131,1
